 71 0.000001000 1.869E-49 1.013E-31.03460.034 4383.25070.720.000000       X      0       X      0                Q 55Q 55     g65222030 912 9 4 0   111.0  111.0
 71 0.000001000 3.769E-50 9.249E-32.03460.034 4701.18550.720.000000       X      0       X      0                Q 57Q 57     g65222030 912 9 4 0   115.0  115.0
 71 0.000001000 4.008E-48 1.246E-31.03460.034 3779.79040.720.000000       X      0       X      0                Q 51Q 51     g65222030 912 9 4 0   103.0  103.0
 71 0.000001000 7.233E-51 8.475E-32.03460.034 5029.85400.720.000000       X      0       X      0                Q 59Q 59     g65222030 912 9 4 0   119.0  119.0
 71 0.000001000 8.838E-49 1.117E-31.03460.034 4076.10210.720.000000       X      0       X      0                Q 53Q 53     g65222030 912 9 4 0   107.0  107.0
 71 0.000002000 1.046E-45 4.124E-31.03460.034 2703.85830.720.000000       X      0       X      0                Q 43Q 43     g65222030 912 9 4 0    87.0   87.0
 71 0.000002000 1.125E-42 1.208E-30.03470.034 1422.50240.720.000000       X      0       X      0                Q 31Q 31     g65252030 912 9 4 0    63.0   63.0
 71 0.000002000 1.280E-44 5.610E-31.03460.034 2232.09240.720.000000       X      0       X      0                Q 39Q 39     g65222030 912 9 4 0    79.0   79.0
 71 0.000002000 1.310E-43 8.008E-31.03460.034 1804.88090.720.000000       X      0       X      0                Q 35Q 35     g65222030 912 9 4 0    71.0   71.0
 71 0.000002000 1.727E-47 2.790E-31.03460.034 3494.36410.720.000000       X      0       X      0                Q 49Q 49     g65222030 912 9 4 0    99.0   99.0
 71 0.000002000 2.790E-46 3.588E-31.03460.034 2956.35400.720.000000       X      0       X      0                Q 45Q 45     g65222030 912 9 4 0    91.0   91.0
 71 0.000002000 3.098E-42 1.523E-30.03480.035 1248.20440.720.000000       X      0       X      0                Q 29Q 29     g65252030 912 9 4 0    59.0   59.0
 71 0.000002000 3.751E-45 4.794E-31.03460.034 2462.42470.720.000000       X      0       X      0                Q 41Q 41     g65222030 912 9 4 0    83.0   83.0
 71 0.000002000 3.919E-43 9.754E-31.03460.034 1608.07130.720.000000       X      0       X      0                Q 33Q 33     g65222030 912 9 4 0    67.0   67.0
 71 0.000002000 4.189E-44 6.663E-31.03460.034 2012.89930.720.000000       X      0       X      0                Q 37Q 37     g65222030 912 9 4 0    75.0   75.0
 71 0.000002000 7.098E-47 3.147E-31.03460.034 3219.87030.720.000000       X      0       X      0                Q 47Q 47     g65222030 912 9 4 0    95.0   95.0
 71 0.000002000 8.198E-42 1.957E-30.03500.036 1085.20570.720.000000       X      0       X      0                Q 27Q 27     g65252030 912 9 4 0    55.0   55.0
 71 0.000003000 1.224E-40 7.246E-30.03560.039  664.26050.720.000000       X      0       X      0                Q 21Q 21     g65262030 912 9 4 0    43.0   43.0
 71 0.000003000 2.090E-41 3.862E-30.03520.037  933.53270.720.000000       X      0       X      0                Q 25Q 25     g65262030 912 9 4 0    51.0   51.0
 71 0.000003000 2.834E-40 1.045E-29.03700.040  546.70480.720.000000       X      0       X      0                Q 19Q 19     g65662030 912 9 4 0    39.0   39.0
